gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  321  -8.00   4.64  3.93  1.34 993210117  1.00  0.40 
  322  -8.01   4.64  3.95  1.32 992010047  1.00  0.40 
  323  -8.02   4.65  3.97  1.3210101 9983  1.00  0.40 
  324  -8.04   4.67  3.95  1.32 9979 9991  1.00  0.40 
  325  -8.08   4.65  3.97  1.321002810003  1.00  0.40 
  326  -8.09   4.62  3.96  1.331005410021  1.00  0.40 
  327  -8.09   4.64  3.97  1.341013310089  1.00  0.40 
  328  -8.09   4.66  3.99  1.33 995210056  1.00  0.40 
  329  -8.11   4.63  3.99  1.33 996910047  1.00  0.40 
  330  -8.11   4.64  4.03  1.331005010037  1.00  0.40 
  331  -8.10   4.68  4.01  1.3310142 9869  1.00  0.40 
  332  -8.09   4.69  4.02  1.3410088 9921  1.00  0.40 
  333  -8.10   4.72  4.02  1.331004310041  1.00  0.40 
  334  -8.10   4.72  4.03  1.32 996810108  1.00  0.40 
  335  -8.11   4.72  4.04  1.3310075 9984  1.00  0.40 
  336  -8.10   4.74  4.04  1.3210084 9943  1.00  0.40 
  337  -8.10   4.76  4.04  1.32 998310057  1.00  0.40 
  338  -8.11   4.73  4.08  1.3210109 9932  1.00  0.40 
  339  -8.11   4.73  4.08  1.30 997310018  1.00  0.40 
  340  -8.11   4.73  4.06  1.301000510087  1.00  0.40 
  341  -8.09   4.70  4.08  1.3010046 9960  1.00  0.40 
  342  -8.11   4.70  4.08  1.3010019 9991  1.00  0.40 
  343  -8.12   4.70  4.07  1.291009610030  1.00  0.40 
  344  -8.14   4.69  4.10  1.291005210115  1.00  0.40 
  345  -8.13   4.69  4.12  1.2910129 9946  1.00  0.40 
  346  -8.15   4.71  4.13  1.291012910065  1.00  0.40 
  347  -8.17   4.71  4.14  1.2910020 9933  1.00  0.40 
  348  -8.17   4.71  4.15  1.29 991710062  1.00  0.40 
  349  -8.18   4.71  4.14  1.301003810067  1.00  0.40 
  350  -8.18   4.72  4.18  1.2910044 9981  1.00  0.40 
  351  -8.17   4.72  4.19  1.2910043 9921  1.00  0.40 
  352  -8.18   4.69  4.21  1.301004310120  1.00  0.40 
  353  -8.20   4.68  4.21  1.29 9985 9987  1.00  0.40 
  354  -8.21   4.66  4.20  1.29 9962 9928  1.00  0.40 
  355  -8.21   4.66  4.20  1.2910067 9996  1.00  0.40 
  356  -8.22   4.65  4.19  1.2910092 9952  1.00  0.40 
  357  -8.22   4.65  4.18  1.281004510010  1.00  0.40 
  358  -8.21   4.63  4.18  1.28 9914 9913  1.00  0.40 
  359  -8.22   4.62  4.19  1.2810120 9921  1.00  0.40 
  360  -8.25   4.62  4.20  1.291000610016  1.00  0.40 
  361  -8.26   4.62  4.23  1.29 9995 9751  1.00  0.40 
  362  -8.26   4.62  4.24  1.30 998010076  1.00  0.40 
  363  -8.26   4.63  4.23  1.3010177 9976  1.00  0.40 
  364  -8.26   4.65  4.22  1.30 997110019  1.00  0.40 
  365  -8.25   4.65  4.23  1.31 999110005  1.00  0.40 
  366  -8.25   4.65  4.21  1.30 998810069  1.00  0.40 
  367  -8.27   4.67  4.24  1.30 9894 9900  1.00  0.40 
  368  -8.29   4.70  4.27  1.301015410048  1.00  0.40 
  369  -8.28   4.68  4.26  1.2910036 9959  1.00  0.40 
